Timestamp,Host,Jitter(ms),Success
2025-06-16 16:43:59,google.com,197.91,True
2025-06-16 16:48:08,google.com,110.83,True
2025-06-16 16:51:54,google.com,38.11,True
2025-06-16 17:15:09,google.com,37.70,True
2025-06-16 17:16:26,google.com,55.77,True
2025-06-16 17:17:51,google.com,270.29,True
2025-06-16 17:19:37,google.com,55.83,True
2025-06-16 17:20:54,google.com,22.27,True
2025-06-16 17:22:47,google.com,19.50,True
2025-06-16 17:24:03,google.com,58.48,True
2025-06-16 17:29:33,google.com,44.77,True
2025-06-16 18:03:49,google.com,28.32,True
2025-06-16 18:05:11,google.com,31.47,True
2025-06-16 18:11:36,google.com,99.94,True
2025-06-16 19:12:56,google.com,90.92,True
2025-06-16 19:18:57,google.com,38.49,True
2025-06-16 19:24:29,google.com,35.81,True
2025-06-17 13:54:27,google.com,0.50,True
