Timestamp,Host,Jitter(ms),Success
2025-06-17 18:02:32,google.com,0.30,True
2025-06-17 18:03:43,google.com,0.30,True
2025-06-17 18:04:54,google.com,0.49,True
2025-06-17 18:06:04,google.com,0.49,True
2025-06-17 18:15:47,google.com,0.46,True
2025-06-17 18:23:00,google.com,0.46,True
2025-06-17 18:42:52,google.com,0.50,True
2025-06-17 21:07:22,google.com,0.49,True
2025-06-17 21:35:47,google.com,12.10,True
2025-06-18 09:35:19,google.com,0.67,True
2025-06-18 09:39:59,google.com,3.52,True
2025-06-18 10:10:37,google.com,0.30,True
