Timestamp,Host,MedianPing(ms),Success,NetworkCategory
2025-06-18 11:25:00,RCD2AES601.mi.corp.rockfin.com,2.00,True,office_amaze_wireless
2025-06-18 11:25:10,RCD1AES601.mi.corp.rockfin.com,1.00,True,office_amaze_wireless
2025-06-18 11:33:23,RCD2AES601.mi.corp.rockfin.com,3.00,True,office_amaze_wireless
2025-06-18 11:33:33,RCD1AES601.mi.corp.rockfin.com,2.00,True,office_amaze_wireless
